task_index,assistant_response
138,"```python
def is_equal_to_sum_even(n):
    return n >= 8 and n % 2 == 0
```"
139,"```python
def special_factorial(n):
    result = 1
    for i in range(1, n + 1):
        factorial = 1
        for j in range(1, i + 1):
            factorial *= j
        result *= factorial
    return result
```"
140,"```python
def fix_spaces(text):
    text = text.replace("" "", ""_"")
    while ""___"" in text:
        text = text.replace(""___"", ""-"")
    return text
```"
141,"```python
def file_name_check(file_name):
    if file_name.count('.') != 1:
        return 'No'
    
    name, ext = file_name.split('.')
    
    if len(name) == 0 or not name[0].isalpha():
        return 'No'
    
    digit_count = sum(c.isdigit() for c in name)
    if digit_count > 3:
        return 'No'
    
    if ext not in ['txt', 'exe', 'dll']:
        return 'No'
    
    return 'Yes'
```"
142,"```python
def sum_squares(lst):
    total = 0
    for index, value in enumerate(lst):
        if index % 3 == 0:
            total += value ** 2
        elif index % 4 == 0:
            total += value ** 3
        else:
            total += value
    return total
```"
143,"```python
def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def words_in_sentence(sentence):
    words = sentence.split()
    prime_length_words = [word for word in words if is_prime(len(word))]
    return ' '.join(prime_length_words)
```"
144,"```python
def simplify(x, n):
    x_numerator, x_denominator = map(int, x.split('/'))
    n_numerator, n_denominator = map(int, n.split('/'))
    
    result_numerator = x_numerator * n_numerator
    result_denominator = x_denominator * n_denominator
    
    return result_numerator % result_denominator == 0
```"
145,"```python
def order_by_points(nums):
    def digit_sum(n):
        return sum(int(digit) for digit in str(abs(n)))
    
    return sorted(nums, key=lambda x: (digit_sum(x), nums.index(x)))
```"
146,"```python
def specialFilter(nums):
    def is_first_and_last_odd(num):
        str_num = str(abs(num))
        return int(str_num[0]) % 2 != 0 and int(str_num[-1]) % 2 != 0

    count = 0
    for num in nums:
        if num > 10 and is_first_and_last_odd(num):
            count += 1
    return count
```"
147,"```python
def get_max_triples(n):
    a = [i * i - i + 1 for i in range(1, n + 1)]
    count = 0

    for i in range(n):
        for j in range(i + 1, n):
            for k in range(j + 1, n):
                if (a[i] + a[j] + a[k]) % 3 == 0:
                    count += 1

    return count
```"
148,"```python
def bf(planet1, planet2):
    planets = [""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune""]
    
    if planet1 not in planets or planet2 not in planets:
        return ()
    
    index1 = planets.index(planet1)
    index2 = planets.index(planet2)
    
    if index1 > index2:
        index1, index2 = index2, index1
    
    return tuple(planets[index1 + 1:index2])
```"
149,"```python
def sorted_list_sum(lst):
    filtered_lst = [s for s in lst if len(s) % 2 == 0]
    return sorted(filtered_lst, key=lambda x: (len(x), x))
```"
150,"```python
def x_or_y(n, x, y):
    def is_prime(num):
        if num <= 1:
            return False
        for i in range(2, int(num**0.5) + 1):
            if num % i == 0:
                return False
        return True

    return x if is_prime(n) else y
```"
151,"```python
def double_the_difference(lst):
    return sum(x**2 for x in lst if isinstance(x, int) and x > 0 and x % 2 != 0)
```"
152,"```python
def compare(game, guess):
    return [abs(g - s) for g, s in zip(guess, game)]
```"
153,"```python
def Strongest_Extension(class_name, extensions):
    strongest_extension = None
    max_strength = float('-inf')

    for extension in extensions:
        CAP = sum(1 for char in extension if char.isupper())
        SM = sum(1 for char in extension if char.islower())
        strength = CAP - SM

        if strength > max_strength:
            max_strength = strength
            strongest_extension = extension

    return f""{class_name}.{strongest_extension}""
```"
154,"```python
def cycpattern_check(a, b):
    if len(b) > len(a):
        return False
    return b in a + a
```"
155,"```python
def even_odd_count(num):
    num = abs(num)  # Convert to positive to handle negative numbers
    even_count = 0
    odd_count = 0
    
    for digit in str(num):
        if int(digit) % 2 == 0:
            even_count += 1
        else:
            odd_count += 1
            
    return (even_count, odd_count)
```"
156,"```python
def int_to_mini_roman(number):
    if not (1 <= number <= 1000):
        return None

    roman_numerals = [
        (1000, 'm'), (900, 'cm'), (500, 'd'), (400, 'cd'),
        (100, 'c'), (90, 'xc'), (50, 'l'), (40, 'xl'),
        (10, 'x'), (9, 'ix'), (5, 'v'), (4, 'iv'), (1, 'i')
    ]
    
    result = []
    for value, numeral in roman_numerals:
        while number >= value:
            result.append(numeral)
            number -= value
    
    return ''.join(result)
```"
157,"```python
def right_angle_triangle(a, b, c):
    sides = sorted([a, b, c])
    return sides[0]**2 + sides[1]**2 == sides[2]**2
```"
158,"```python
def find_max(words):
    max_word = """"
    max_unique_count = 0

    for word in words:
        unique_chars = len(set(word))
        if (unique_chars > max_unique_count) or (unique_chars == max_unique_count and word < max_word):
            max_unique_count = unique_chars
            max_word = word

    return max_word
```"
159,"```python
def eat(number, need, remaining):
    if remaining >= need:
        total_eaten = number + need
        remaining_after = remaining - need
    else:
        total_eaten = number + remaining
        remaining_after = 0
        
    return [total_eaten, remaining_after]
```"
160,"```python
def do_algebra(operator, operand):
    expression = str(operand[0])
    
    for op, num in zip(operator, operand[1:]):
        expression += f"" {op} {num}""
    
    return eval(expression)
```"
161,"```python
def solve(s):
    if any(c.isalpha() for c in s):
        return ''.join(c.swapcase() if c.isalpha() else c for c in s)
    else:
        return s[::-1]
```"
162,"```python
import hashlib

def string_to_md5(text):
    if text == """":
        return None
    return hashlib.md5(text.encode()).hexdigest()
```"
